"filename", "language", "C++", "YAML", "Swift", "JSON", "Dart", "XML", "comment", "blank", "total"
"d:\For Studing\Flutter\helping_hands\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\data\home_impl.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\accidant_location.dart", "Dart", 0, 0, 0, 0, 70, 0, 0, 6, 76
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\home.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\acc_on_map\acc_on_map_cubit.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 4, 35
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\acc_on_map\acc_on_map_state.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 6, 19
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\home_list\home_list_cubit.dart", "Dart", 0, 0, 0, 0, -2, 0, 0, 0, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\accidant_location.dart", "Dart", 0, 0, 0, 0, -24, 0, 0, -3, -27
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\app_bar_title.dart", "Dart", 0, 0, 0, 0, -13, 0, 13, 2, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\bar.dart", "Dart", 0, 0, 0, 0, 4, 0, 11, 0, 15
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\distance_widget.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\floating_button.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\floating_buttons.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\floating_serach_button.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 3, 47
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\home_body.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 4
