Date : 2024-03-29 15:14:03
Directory : d:\For Studing\Flutter\helping_hands
Total : 236 files,  12095 codes, 836 comments, 1611 blanks, all 14542 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        183 |     10,302 |        564 |      1,321 |     12,187 |
| C++        |         16 |        583 |        121 |        182 |        886 |
| XML        |         11 |        491 |         48 |         19 |        558 |
| JSON       |          9 |        422 |          0 |         14 |        436 |
| Gradle     |          3 |         95 |          5 |         23 |        123 |
| Swift      |          6 |         74 |          7 |         20 |        101 |
| YAML       |          3 |         69 |         75 |         15 |        159 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        236 |     12,095 |        836 |      1,611 |     14,542 |
| . (Files)                                                                                                                       |          4 |         79 |         75 |         22 |        176 |
| android                                                                                                                         |         14 |        229 |         51 |         41 |        321 |
| android (Files)                                                                                                                 |          3 |         46 |          0 |         13 |         59 |
| android\app                                                                                                                     |         10 |        178 |         51 |         27 |        256 |
| android\app (Files)                                                                                                             |          2 |         91 |          5 |         11 |        107 |
| android\app\src                                                                                                                 |          8 |         87 |         46 |         16 |        149 |
| android\app\src\debug                                                                                                           |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                            |          6 |         81 |         38 |         14 |        133 |
| android\app\src\main (Files)                                                                                                    |          1 |         49 |          6 |          7 |         62 |
| android\app\src\main\res                                                                                                        |          5 |         32 |         32 |          7 |         71 |
| android\app\src\main\res\drawable                                                                                               |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                 |          2 |         15 |          9 |          2 |         26 |
| android\app\src\main\res\values-night                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                          |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                             |          9 |        236 |          4 |         13 |        253 |
| ios (Files)                                                                                                                     |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                              |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                                 |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                      |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                   |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                 |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                             |        184 |     10,409 |        554 |      1,325 |     12,288 |
| lib (Files)                                                                                                                     |          2 |        165 |         18 |         18 |        201 |
| lib\Features                                                                                                                    |        161 |      7,395 |        280 |        942 |      8,617 |
| lib\Features\Home                                                                                                               |         28 |      1,019 |         28 |        116 |      1,163 |
| lib\Features\Home\data                                                                                                          |          1 |         65 |          2 |         11 |         78 |
| lib\Features\Home\presentation                                                                                                  |         27 |        954 |         26 |        105 |      1,085 |
| lib\Features\Home\presentation (Files)                                                                                          |          3 |        159 |          1 |         15 |        175 |
| lib\Features\Home\presentation\manager                                                                                          |          6 |        100 |          1 |         30 |        131 |
| lib\Features\Home\presentation\manager\acc_on_map                                                                               |          2 |         44 |          0 |         10 |         54 |
| lib\Features\Home\presentation\manager\home_list                                                                                |          2 |         30 |          0 |         10 |         40 |
| lib\Features\Home\presentation\manager\navigation_bar                                                                           |          2 |         26 |          1 |         10 |         37 |
| lib\Features\Home\presentation\widgets                                                                                          |         18 |        695 |         24 |         60 |        779 |
| lib\Features\PostReport                                                                                                         |          8 |        358 |          2 |         44 |        404 |
| lib\Features\PostReport\data                                                                                                    |          1 |         70 |          2 |         11 |         83 |
| lib\Features\PostReport\presentation                                                                                            |          7 |        288 |          0 |         33 |        321 |
| lib\Features\PostReport\presentation (Files)                                                                                    |          1 |         19 |          0 |          3 |         22 |
| lib\Features\PostReport\presentation\manager                                                                                    |          2 |         77 |          0 |         17 |         94 |
| lib\Features\PostReport\presentation\manager\post_report                                                                        |          2 |         77 |          0 |         17 |         94 |
| lib\Features\PostReport\presentation\widgets                                                                                    |          4 |        192 |          0 |         13 |        205 |
| lib\Features\Profile                                                                                                            |         57 |      2,951 |         86 |        381 |      3,418 |
| lib\Features\Profile\Presentation                                                                                               |         56 |      2,576 |         73 |        348 |      2,997 |
| lib\Features\Profile\Presentation (Files)                                                                                       |          4 |         98 |          3 |         11 |        112 |
| lib\Features\Profile\Presentation\manager                                                                                       |         10 |        476 |         31 |        161 |        668 |
| lib\Features\Profile\Presentation\manager\Profile_info                                                                          |          4 |        365 |         29 |        127 |        521 |
| lib\Features\Profile\Presentation\manager\Profile_info\UserBotton                                                               |          2 |         52 |         13 |         27 |         92 |
| lib\Features\Profile\Presentation\manager\Profile_info\UserField                                                                |          2 |        313 |         16 |        100 |        429 |
| lib\Features\Profile\Presentation\manager\emaergancy_contacts                                                                   |          4 |         62 |          2 |         21 |         85 |
| lib\Features\Profile\Presentation\manager\emaergancy_contacts\contacts                                                          |          2 |         32 |          1 |         11 |         44 |
| lib\Features\Profile\Presentation\manager\emaergancy_contacts\search                                                            |          2 |         30 |          1 |         10 |         41 |
| lib\Features\Profile\Presentation\manager\toggles                                                                               |          2 |         49 |          0 |         13 |         62 |
| lib\Features\Profile\Presentation\widgets                                                                                       |         16 |        640 |          9 |         47 |        696 |
| lib\Features\Profile\Presentation\widgets_Contacts                                                                              |         11 |        520 |          6 |         34 |        560 |
| lib\Features\Profile\Presentation\widgets_information                                                                           |         15 |        842 |         24 |         95 |        961 |
| lib\Features\Profile\data                                                                                                       |          1 |        375 |         13 |         33 |        421 |
| lib\Features\Splash                                                                                                             |          5 |        221 |          6 |         24 |        251 |
| lib\Features\Splash (Files)                                                                                                     |          1 |         12 |          0 |          3 |         15 |
| lib\Features\Splash\widgets                                                                                                     |          4 |        209 |          6 |         21 |        236 |
| lib\Features\auth                                                                                                               |         32 |      1,324 |         45 |        181 |      1,550 |
| lib\Features\auth\data                                                                                                          |          1 |         48 |          6 |          7 |         61 |
| lib\Features\auth\presentation                                                                                                  |         31 |      1,276 |         39 |        174 |      1,489 |
| lib\Features\auth\presentation (Files)                                                                                          |          3 |        142 |          3 |         16 |        161 |
| lib\Features\auth\presentation\manager                                                                                          |          4 |        107 |          1 |         26 |        134 |
| lib\Features\auth\presentation\manager (Files)                                                                                  |          2 |         72 |          1 |         14 |         87 |
| lib\Features\auth\presentation\manager\forget_password                                                                          |          2 |         35 |          0 |         12 |         47 |
| lib\Features\auth\presentation\widgets                                                                                          |         24 |      1,027 |         35 |        132 |      1,194 |
| lib\Features\chat                                                                                                               |          7 |        289 |        105 |         64 |        458 |
| lib\Features\chat\data                                                                                                          |          1 |         40 |          4 |         10 |         54 |
| lib\Features\chat\presentation                                                                                                  |          6 |        249 |        101 |         54 |        404 |
| lib\Features\chat\presentation (Files)                                                                                          |          1 |        114 |          3 |          4 |        121 |
| lib\Features\chat\presentation\manager                                                                                          |          2 |         83 |         98 |         41 |        222 |
| lib\Features\chat\presentation\widgets                                                                                          |          3 |         52 |          0 |          9 |         61 |
| lib\Features\dangerMap                                                                                                          |          4 |        293 |          0 |         30 |        323 |
| lib\Features\dangerMap\data                                                                                                     |          1 |        167 |          0 |         17 |        184 |
| lib\Features\dangerMap\presentation                                                                                             |          3 |        126 |          0 |         13 |        139 |
